participant_index,ParticipantPrivateID,TrialNumber,Vb_pre,Vb_post,BeliefStrength,delta,eta,feedback,TruePrior,InstructedPrior,FinalBelief,V_true,V_instructed
1,15938034,1,0.5,0.6666666666666666,0,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.5,0.5
1,15938034,2,0.6666666666666666,0.752060575759931,0.33333333333333326,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6666666666666666,0.33333333333333337
1,15938034,3,0.752060575759931,0.6079073135692883,0.504121151519862,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.752060575759931,0.24793942424006898
1,15938034,4,0.6079073135692883,0.6722645725110775,0.21581462713857658,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6079073135692883,0.3920926864307117
1,15938034,5,0.6722645725110775,0.7184524824650592,0.34452914502215504,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6722645725110775,0.3277354274889225
1,15938034,6,0.7184524824650592,0.6358444734739616,0.43690496493011843,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.7184524824650592,0.2815475175349408
1,15938034,7,0.6358444734739616,0.6741668785309288,0.2716889469479231,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6358444734739616,0.36415552652603844
1,15938034,8,0.6741668785309288,0.6139061403183179,0.34833375706185765,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6741668785309288,0.3258331214690712
1,15938034,9,0.6139061403183179,0.5645882113706482,0.22781228063663583,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6139061403183179,0.3860938596816821
1,15938034,10,0.5645882113706482,0.5235006664952823,0.12917642274129637,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.5645882113706482,0.4354117886293518
1,15938034,11,0.5235006664952823,0.5553217559009375,0.047001332990564526,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.5235006664952823,0.47649933350471774
1,15938034,12,0.5553217559009375,0.5825669175543384,0.11064351180187493,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.5553217559009375,0.44467824409906254
1,15938034,13,0.5825669175543384,0.6061452190548388,0.16513383510867685,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.5825669175543384,0.4174330824456616
1,15938034,14,0.6061452190548388,0.6267399372254736,0.21229043810967752,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6061452190548388,0.39385478094516124
1,15938034,15,0.6267399372254736,0.644874564015237,0.2534798744509472,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6267399372254736,0.3732600627745264
1,15938034,16,0.644874564015237,0.6609569365788074,0.28974912803047403,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.644874564015237,0.355125435984763
1,15938034,17,0.6609569365788074,0.6753095072558805,0.32191387315761477,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6609569365788074,0.3390430634211926
1,15938034,18,0.6753095072558805,0.6881905794382861,0.3506190145117609,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6753095072558805,0.32469049274411954
1,15938034,19,0.6881905794382861,0.6639841750624282,0.3763811588765722,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6881905794382861,0.3118094205617139
1,15938034,20,0.6639841750624282,0.6420500304640107,0.3279683501248565,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6639841750624282,0.33601582493757176
1,15938034,21,0.6420500304640107,0.6220927371995716,0.2841000609280213,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6420500304640107,0.35794996953598934
1,15938034,22,0.6220927371995716,0.6335525030853268,0.24418547439914318,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6220927371995716,0.3779072628004284
1,15938034,23,0.6335525030853268,0.6160735282448669,0.2671050061706537,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6335525030853268,0.36644749691467315
1,15938034,24,0.6160735282448669,0.6000050048590051,0.23214705648973388,1.0332432127927482,-0.9126606619025001,0,1,2,1,0.6160735282448669,0.38392647175513306
1,15938034,25,0.6000050048590051,0.6101578483147058,0.2000100097180102,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6000050048590051,0.3999949951409949
1,15938034,26,0.6101578483147058,0.6195433020577944,0.22031569662941153,1.0332432127927482,-0.9126606619025001,1,1,2,1,0.6101578483147058,0.38984215168529424
