group,participant_index,ParticipantPrivateID,TrialNumber,alpha,beta,lambda,delta,eta,Vb_blue,signed_true,signed_instruction,TrueDirection,InstructedDirection,feedback
Implicit Unaware,1,11696510,1,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.5,0,NA,1,NA,0
Implicit Unaware,1,11696510,2,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.3333333333333333,-0.33333333333333337,NA,1,NA,1
Implicit Unaware,1,11696510,3,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.48492369310035766,-0.03015261379928469,NA,1,NA,1
Implicit Unaware,1,11696510,4,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.579815061222703,0.15963012244540598,NA,1,NA,1
Implicit Unaware,1,11696510,5,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6444318055352066,0.28886361107041325,NA,1,NA,1
Implicit Unaware,1,11696510,6,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6909929489199892,0.3819858978399784,NA,1,NA,1
Implicit Unaware,1,11696510,7,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.7259277808420119,0.45185556168402385,NA,1,NA,0
Implicit Unaware,1,11696510,8,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6711455597208554,0.34229111944171087,NA,1,NA,1
Implicit Unaware,1,11696510,9,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6967660889780978,0.39353217795619555,NA,1,NA,1
Implicit Unaware,1,11696510,10,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.7174200123160371,0.4348400246320743,NA,1,NA,1
Implicit Unaware,1,11696510,11,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.7343179573798752,0.4686359147597503,NA,1,NA,0
Implicit Unaware,1,11696510,12,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.7051177665425384,0.4102355330850769,NA,1,NA,1
Implicit Unaware,1,11696510,13,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.7180329871126923,0.4360659742253845,NA,1,NA,0
Implicit Unaware,1,11696510,14,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6965257658955065,0.39305153179101304,NA,1,NA,1
Implicit Unaware,1,11696510,15,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.7064641743461053,0.4129283486922106,NA,1,NA,0
Implicit Unaware,1,11696510,16,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6903340083836107,0.3806680167672214,NA,1,NA,1
Implicit Unaware,1,11696510,17,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6980254222511015,0.39605084450220307,NA,1,NA,0
Implicit Unaware,1,11696510,18,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6857705068570046,0.37154101371400916,NA,1,NA,1
Implicit Unaware,1,11696510,19,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6917503738186699,0.38350074763733977,NA,1,NA,1
Implicit Unaware,1,11696510,20,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.696944959471973,0.393889918943946,NA,1,NA,0
Implicit Unaware,1,11696510,21,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.688615811952831,0.3772316239056619,NA,1,NA,1
Implicit Unaware,1,11696510,22,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6926772053643364,0.3853544107286728,NA,1,NA,0
Implicit Unaware,1,11696510,23,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6862259532899319,0.3724519065798637,NA,1,NA,0
Implicit Unaware,1,11696510,24,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6805691944296764,0.3611383888593529,NA,1,NA,1
Implicit Unaware,1,11696510,25,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6834169087754097,0.36683381755081945,NA,1,NA,0
Implicit Unaware,1,11696510,26,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6790062635493009,0.3580125270986019,NA,1,NA,0
Implicit Unaware,1,11696510,27,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6751217891561937,0.3502435783123874,NA,1,NA,1
Implicit Unaware,1,11696510,28,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6771197809177106,0.35423956183542127,NA,1,NA,1
Implicit Unaware,1,11696510,29,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6788831547875115,0.357766309575023,NA,1,NA,1
Implicit Unaware,1,11696510,30,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6804408259104381,0.36088165182087617,NA,1,NA,0
Implicit Unaware,1,11696510,31,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6780393584935467,0.35607871698709337,NA,1,NA,0
Implicit Unaware,1,11696510,32,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6759149328500422,0.35182986570008445,NA,1,NA,0
Implicit Unaware,1,11696510,33,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6740344503214784,0.3480689006429567,NA,1,NA,1
Implicit Unaware,1,11696510,34,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6750094305537393,0.3500188611074786,NA,1,NA,1
Implicit Unaware,1,11696510,35,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6758733284587237,0.35174665691744744,NA,1,NA,1
Implicit Unaware,1,11696510,36,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6766391219216058,0.3532782438432116,NA,1,NA,1
Implicit Unaware,1,11696510,37,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6773182047823834,0.3546364095647667,NA,1,NA,1
Implicit Unaware,1,11696510,38,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6779205943368511,0.3558411886737023,NA,1,NA,1
Implicit Unaware,1,11696510,39,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6784551087610893,0.35691021752217855,NA,1,NA,1
Implicit Unaware,1,11696510,40,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6789295193903154,0.35785903878063086,NA,1,NA,1
Implicit Unaware,1,11696510,41,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6793506818668565,0.3587013637337131,NA,1,NA,1
Implicit Unaware,1,11696510,42,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6797246494457274,0.3594492988914548,NA,1,NA,0
Implicit Unaware,1,11696510,43,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6791467901854156,0.35829358037083114,NA,1,NA,1
Implicit Unaware,1,11696510,44,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.679442349120655,0.3588846982413101,NA,1,NA,1
Implicit Unaware,1,11696510,45,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6797049160192902,0.35940983203858035,NA,1,NA,1
Implicit Unaware,1,11696510,46,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6799382034010035,0.35987640680200705,NA,1,NA,0
Implicit Unaware,1,11696510,47,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6795772782065018,0.35915455641300364,NA,1,NA,1
Implicit Unaware,1,11696510,48,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6797617135189157,0.35952342703783136,NA,1,NA,1
Implicit Unaware,1,11696510,49,0.6639655288960998,0.75052918413,0.06357901016444625,1.1243602415320404,-0.43118506122087,0.6799256317135829,0.3598512634271658,NA,1,NA,0
