group,participant_index,ParticipantPrivateID,TrialNumber,delta,Vb_blue,V_true,belief_strength,feedback
Implicit Unaware,1,11696510,1,1.1243602415320404,0.5,0.5,0,0
Implicit Unaware,1,11696510,2,1.1243602415320404,0.3333333333333333,0.3333333333333333,0.33333333333333337,1
Implicit Unaware,1,11696510,3,1.1243602415320404,0.48492369310035766,0.48492369310035766,0.03015261379928469,1
Implicit Unaware,1,11696510,4,1.1243602415320404,0.579815061222703,0.579815061222703,0.15963012244540598,1
Implicit Unaware,1,11696510,5,1.1243602415320404,0.6444318055352066,0.6444318055352066,0.28886361107041325,1
Implicit Unaware,1,11696510,6,1.1243602415320404,0.6909929489199892,0.6909929489199892,0.3819858978399784,1
Implicit Unaware,1,11696510,7,1.1243602415320404,0.7259277808420119,0.7259277808420119,0.45185556168402385,0
Implicit Unaware,1,11696510,8,1.1243602415320404,0.6711455597208554,0.6711455597208554,0.34229111944171087,1
Implicit Unaware,1,11696510,9,1.1243602415320404,0.6967660889780978,0.6967660889780978,0.39353217795619555,1
Implicit Unaware,1,11696510,10,1.1243602415320404,0.7174200123160371,0.7174200123160371,0.4348400246320743,1
Implicit Unaware,1,11696510,11,1.1243602415320404,0.7343179573798752,0.7343179573798752,0.4686359147597503,0
Implicit Unaware,1,11696510,12,1.1243602415320404,0.7051177665425384,0.7051177665425384,0.4102355330850769,1
Implicit Unaware,1,11696510,13,1.1243602415320404,0.7180329871126923,0.7180329871126923,0.4360659742253845,0
Implicit Unaware,1,11696510,14,1.1243602415320404,0.6965257658955065,0.6965257658955065,0.39305153179101304,1
Implicit Unaware,1,11696510,15,1.1243602415320404,0.7064641743461053,0.7064641743461053,0.4129283486922106,0
Implicit Unaware,1,11696510,16,1.1243602415320404,0.6903340083836107,0.6903340083836107,0.3806680167672214,1
Implicit Unaware,1,11696510,17,1.1243602415320404,0.6980254222511015,0.6980254222511015,0.39605084450220307,0
Implicit Unaware,1,11696510,18,1.1243602415320404,0.6857705068570046,0.6857705068570046,0.37154101371400916,1
Implicit Unaware,1,11696510,19,1.1243602415320404,0.6917503738186699,0.6917503738186699,0.38350074763733977,1
Implicit Unaware,1,11696510,20,1.1243602415320404,0.696944959471973,0.696944959471973,0.393889918943946,0
Implicit Unaware,1,11696510,21,1.1243602415320404,0.688615811952831,0.688615811952831,0.3772316239056619,1
Implicit Unaware,1,11696510,22,1.1243602415320404,0.6926772053643364,0.6926772053643364,0.3853544107286728,0
Implicit Unaware,1,11696510,23,1.1243602415320404,0.6862259532899319,0.6862259532899319,0.3724519065798637,0
Implicit Unaware,1,11696510,24,1.1243602415320404,0.6805691944296764,0.6805691944296764,0.3611383888593529,1
Implicit Unaware,1,11696510,25,1.1243602415320404,0.6834169087754097,0.6834169087754097,0.36683381755081945,0
Implicit Unaware,1,11696510,26,1.1243602415320404,0.6790062635493009,0.6790062635493009,0.3580125270986019,0
Implicit Unaware,1,11696510,27,1.1243602415320404,0.6751217891561937,0.6751217891561937,0.3502435783123874,1
Implicit Unaware,1,11696510,28,1.1243602415320404,0.6771197809177106,0.6771197809177106,0.35423956183542127,1
Implicit Unaware,1,11696510,29,1.1243602415320404,0.6788831547875115,0.6788831547875115,0.357766309575023,1
Implicit Unaware,1,11696510,30,1.1243602415320404,0.6804408259104381,0.6804408259104381,0.36088165182087617,0
Implicit Unaware,1,11696510,31,1.1243602415320404,0.6780393584935467,0.6780393584935467,0.35607871698709337,0
Implicit Unaware,1,11696510,32,1.1243602415320404,0.6759149328500422,0.6759149328500422,0.35182986570008445,0
Implicit Unaware,1,11696510,33,1.1243602415320404,0.6740344503214784,0.6740344503214784,0.3480689006429567,1
Implicit Unaware,1,11696510,34,1.1243602415320404,0.6750094305537393,0.6750094305537393,0.3500188611074786,1
Implicit Unaware,1,11696510,35,1.1243602415320404,0.6758733284587237,0.6758733284587237,0.35174665691744744,1
Implicit Unaware,1,11696510,36,1.1243602415320404,0.6766391219216058,0.6766391219216058,0.3532782438432116,1
Implicit Unaware,1,11696510,37,1.1243602415320404,0.6773182047823834,0.6773182047823834,0.3546364095647667,1
Implicit Unaware,1,11696510,38,1.1243602415320404,0.6779205943368511,0.6779205943368511,0.3558411886737023,1
Implicit Unaware,1,11696510,39,1.1243602415320404,0.6784551087610893,0.6784551087610893,0.35691021752217855,1
Implicit Unaware,1,11696510,40,1.1243602415320404,0.6789295193903154,0.6789295193903154,0.35785903878063086,1
Implicit Unaware,1,11696510,41,1.1243602415320404,0.6793506818668565,0.6793506818668565,0.3587013637337131,1
Implicit Unaware,1,11696510,42,1.1243602415320404,0.6797246494457274,0.6797246494457274,0.3594492988914548,0
Implicit Unaware,1,11696510,43,1.1243602415320404,0.6791467901854156,0.6791467901854156,0.35829358037083114,1
Implicit Unaware,1,11696510,44,1.1243602415320404,0.679442349120655,0.679442349120655,0.3588846982413101,1
Implicit Unaware,1,11696510,45,1.1243602415320404,0.6797049160192902,0.6797049160192902,0.35940983203858035,1
Implicit Unaware,1,11696510,46,1.1243602415320404,0.6799382034010035,0.6799382034010035,0.35987640680200705,0
Implicit Unaware,1,11696510,47,1.1243602415320404,0.6795772782065018,0.6795772782065018,0.35915455641300364,1
Implicit Unaware,1,11696510,48,1.1243602415320404,0.6797617135189157,0.6797617135189157,0.35952342703783136,1
Implicit Unaware,1,11696510,49,1.1243602415320404,0.6799256317135829,0.6799256317135829,0.3598512634271658,0
Implicit Unaware,1,11696510,50,1.1243602415320404,0.6796719713866562,0.6796719713866562,0.3593439427733125,1
Implicit Unaware,1,11696510,51,1.1243602415320404,0.6798015848855066,0.6798015848855066,0.35960316977101314,1
Implicit Unaware,1,11696510,52,1.1243602415320404,0.6799168043494858,0.6799168043494858,0.3598336086989715,1
Implicit Unaware,1,11696510,53,1.1243602415320404,0.6800192340080488,0.6800192340080488,0.3600384680160975,0
Implicit Unaware,1,11696510,54,1.1243602415320404,0.6798606400190054,0.6798606400190054,0.35972128003801074,0
Implicit Unaware,1,11696510,55,1.1243602415320404,0.6797196373492753,0.6797196373492753,0.35943927469855064,1
Implicit Unaware,1,11696510,56,1.1243602415320404,0.6797916928686267,0.6797916928686267,0.35958338573725346,0
Implicit Unaware,1,11696510,57,1.1243602415320404,0.6796801968783962,0.6796801968783962,0.3593603937567924,1
Implicit Unaware,1,11696510,58,1.1243602415320404,0.6797371848657643,0.6797371848657643,0.3594743697315286,1
Implicit Unaware,1,11696510,59,1.1243602415320404,0.679787858446242,0.679787858446242,0.359575716892484,1
Implicit Unaware,1,11696510,60,1.1243602415320404,0.6798329183768272,0.6798329183768272,0.3596658367536545,0
Implicit Unaware,1,11696510,61,1.1243602415320404,0.6797631777026353,0.6797631777026353,0.35952635540527056,1
Implicit Unaware,1,11696510,62,1.1243602415320404,0.6797988173936327,0.6797988173936327,0.35959763478726536,1
Implicit Unaware,1,11696510,63,1.1243602415320404,0.6798305107509836,0.6798305107509836,0.3596610215019671,0
